order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales
CA-2018-102407,2018-12-09,2018-12-13,Second Class,AT-10435,FUR-TA-10003748,896328
CA-2018-102407,2018-12-09,2018-12-13,Second Class,AT-10435,OFF-AP-10001394,189
CA-2018-141201,2018-12-09,2018-12-11,Second Class,DB-12910,FUR-BO-10001519,148257
CA-2018-117926,2018-12-08,2018-12-12,Second Class,AS-10225,OFF-AP-10002670,69.48
CA-2018-108854,2018-12-08,2018-12-14,Standard Class,DM-13345,OFF-PA-10003022,87.92
CA-2018-108854,2018-12-08,2018-12-14,Standard Class,DM-13345,OFF-BI-10002854,22424
CA-2018-108854,2018-12-08,2018-12-14,Standard Class,DM-13345,OFF-BI-10001670,90.48
CA-2018-108854,2018-12-08,2018-12-14,Standard Class,DM-13345,OFF-ST-10001837,42.76
CA-2018-152436,2018-12-08,2018-12-10,Second Class,CW-11905,OFF-ST-10000036,592.74
CA-2018-134285,2018-12-07,2018-12-12,Standard Class,DS-13180,OFF-FA-10000611,3552
CA-2018-134285,2018-12-07,2018-12-12,Standard Class,DS-13180,OFF-PA-10000304,15552
US-2018-122714,2018-12-07,2018-12-13,Standard Class,HG-14965,OFF-BI-10001120,1889.99
CA-2018-142328,2018-12-07,2018-12-14,Standard Class,TC-21535,OFF-PA-10000380,50.04
US-2018-149006,2018-12-06,2018-12-08,Second Class,BN-11470,OFF-ST-10003221,10.68
CA-2018-104066,2018-12-05,2018-12-10,Standard Class,QJ-19255,TEC-AC-10001013,205.03
CA-2018-105235,2018-12-05,2018-12-11,Standard Class,SM-20950,FUR-FU-10001487,20.94
CA-2018-105235,2018-12-05,2018-12-11,Standard Class,SM-20950,FUR-FU-10000521,58.68
CA-2018-105235,2018-12-05,2018-12-11,Standard Class,SM-20950,OFF-AP-10001271,254.9
CA-2018-156958,2018-12-05,2018-12-06,First Class,PB-18805,OFF-BI-10001524,83.92
CA-2018-156958,2018-12-05,2018-12-06,First Class,PB-18805,FUR-FU-10003268,199.9
CA-2018-156958,2018-12-05,2018-12-06,First Class,PB-18805,TEC-PH-10000148,31176
CA-2018-156958,2018-12-05,2018-12-06,First Class,PB-18805,OFF-BI-10001543,172752
CA-2018-156958,2018-12-05,2018-12-06,First Class,PB-18805,OFF-BI-10002071,9296
CA-2018-139773,2018-12-04,2018-12-04,Same Day,DV-13045,FUR-CH-10001797,188552
CA-2018-117667,2018-12-04,2018-12-09,Standard Class,MS-17980,FUR-CH-10004540,239.96
CA-2018-117667,2018-12-04,2018-12-09,Standard Class,MS-17980,FUR-FU-10004093,54768
CA-2018-117667,2018-12-04,2018-12-09,Standard Class,MS-17980,OFF-AR-10000716,13392
CA-2018-117667,2018-12-04,2018-12-09,Standard Class,MS-17980,OFF-PA-10002709,23.92
CA-2018-117667,2018-12-04,2018-12-09,Standard Class,MS-17980,TEC-AC-10000580,255968
CA-2018-153227,2018-12-04,2018-12-06,First Class,CS-12250,OFF-PA-10001838,11.76
CA-2018-147550,2018-12-04,2018-12-05,First Class,KE-16420,FUR-FU-10001918,11352
CA-2018-143126,2018-12-03,2018-12-07,Second Class,CM-12655,FUR-TA-10002958,521.96
CA-2018-116715,2018-12-02,2018-12-05,First Class,VW-21775,OFF-ST-10004340,559.62
CA-2018-116715,2018-12-02,2018-12-05,First Class,VW-21775,OFF-PA-10004475,109.92
CA-2018-116715,2018-12-02,2018-12-05,First Class,VW-21775,OFF-PA-10003893,8.56
CA-2018-164917,2018-12-02,2018-12-07,Standard Class,MK-17905,OFF-AR-10004344,47.96
CA-2018-109701,2018-12-02,2018-12-03,Same Day,AM-10360,OFF-BI-10004187,9024
CA-2018-109701,2018-12-02,2018-12-03,Same Day,AM-10360,OFF-BI-10000632,69456
CA-2018-109701,2018-12-02,2018-12-03,Same Day,AM-10360,OFF-PA-10003724,10.86
CA-2018-109701,2018-12-02,2018-12-03,Same Day,AM-10360,OFF-AP-10002765,79.47
CA-2018-109701,2018-12-02,2018-12-03,Same Day,AM-10360,OFF-AR-10001868,10.08
CA-2018-102379,2018-12-02,2018-12-06,Standard Class,BB-11545,TEC-PH-10001448,39992
CA-2018-102379,2018-12-02,2018-12-06,Standard Class,BB-11545,FUR-CH-10004983,1159056
CA-2018-102379,2018-12-02,2018-12-06,Standard Class,BB-11545,OFF-AR-10004022,179.9
CA-2018-104108,2018-12-02,2018-12-09,Standard Class,RP-19855,OFF-AR-10000817,12.16
US-2018-112347,2018-12-02,2018-12-06,Standard Class,BS-11380,OFF-ST-10003306,114288
US-2018-112347,2018-12-02,2018-12-06,Standard Class,BS-11380,OFF-BI-10003707,36624
US-2018-112347,2018-12-02,2018-12-06,Standard Class,BS-11380,FUR-BO-10003546,242352
US-2018-112347,2018-12-02,2018-12-06,Standard Class,BS-11380,TEC-PH-10000213,49616
US-2018-112347,2018-12-02,2018-12-06,Standard Class,BS-11380,FUR-FU-10001488,508704
US-2018-112347,2018-12-02,2018-12-06,Standard Class,BS-11380,TEC-PH-10004833,57.36
US-2018-112347,2018-12-02,2018-12-06,Standard Class,BS-11380,FUR-CH-10002335,906.68
CA-2018-157469,2018-12-02,2018-12-07,Standard Class,ES-14080,OFF-AR-10001662,19728
CA-2018-157469,2018-12-02,2018-12-07,Standard Class,ES-14080,TEC-PH-10004531,151188
CA-2018-155089,2018-12-02,2018-12-06,Standard Class,DB-12910,OFF-BI-10002429,45.66
CA-2018-138618,2018-12-01,2018-12-08,Standard Class,MY-17380,OFF-PA-10000520,10368
CA-2018-101805,2018-12-01,2018-12-06,Standard Class,SH-19975,OFF-BI-10002003,15.92
CA-2018-101805,2018-12-01,2018-12-06,Standard Class,SH-19975,FUR-FU-10000023,70.68
CA-2018-101805,2018-12-01,2018-12-06,Standard Class,SH-19975,OFF-ST-10002756,541.24
CA-2018-144862,2018-12-01,2018-12-05,Standard Class,EH-14005,OFF-EN-10003040,104.68
CA-2018-144862,2018-12-01,2018-12-05,Standard Class,EH-14005,TEC-PH-10000923,62958
CA-2018-143245,2018-12-01,2018-12-06,Standard Class,AD-10180,OFF-PA-10001972,19.44
CA-2018-143245,2018-12-01,2018-12-06,Standard Class,AD-10180,FUR-CH-10000155,897.15
CA-2018-145660,2018-12-01,2018-12-03,First Class,MG-17650,FUR-FU-10002885,7712
CA-2018-103968,2018-12-01,2018-12-07,Standard Class,ML-17755,FUR-FU-10003394,629.64
CA-2018-137365,2018-11-30,2018-12-03,Second Class,BP-11095,TEC-AC-10001767,95976
CA-2018-111689,2018-11-30,2018-12-02,Second Class,HP-14815,OFF-BI-10003984,68472
CA-2018-111689,2018-11-30,2018-12-02,Second Class,HP-14815,FUR-CH-10004287,1242.9
US-2018-120089,2018-11-30,2018-11-30,Same Day,ML-17755,OFF-AP-10003779,663936
US-2018-148768,2018-11-30,2018-12-02,Second Class,PN-18775,TEC-PH-10002564,71976
CA-2018-105333,2018-11-30,2018-12-04,Standard Class,VP-21730,OFF-ST-10002182,83.56
CA-2018-105333,2018-11-30,2018-12-04,Standard Class,VP-21730,TEC-PH-10001468,546.06
CA-2018-105333,2018-11-30,2018-12-04,Standard Class,VP-21730,OFF-ST-10001809,269.49
CA-2018-107314,2018-11-30,2018-12-03,First Class,MZ-17335,FUR-FU-10003489,25.83
CA-2018-123372,2018-11-28,2018-12-02,Standard Class,DG-13300,TEC-PH-10002834,1979.89
CA-2018-123372,2018-11-28,2018-12-02,Standard Class,DG-13300,OFF-EN-10003055,79.96
US-2018-110576,2018-11-28,2018-12-02,Standard Class,RB-19795,FUR-FU-10003601,516488
US-2018-110576,2018-11-28,2018-12-02,Standard Class,RB-19795,FUR-FU-10000576,1007232
US-2018-110576,2018-11-28,2018-12-02,Standard Class,RB-19795,FUR-TA-10004154,2065.32
US-2018-110576,2018-11-28,2018-12-02,Standard Class,RB-19795,OFF-PA-10000788,15552
US-2018-110576,2018-11-28,2018-12-02,Standard Class,RB-19795,OFF-PA-10002479,25344
CA-2018-117702,2018-11-28,2018-12-04,Standard Class,LS-16975,OFF-AR-10004582,1.64
CA-2018-117702,2018-11-28,2018-12-04,Standard Class,LS-16975,FUR-FU-10000576,1049.2
CA-2018-117702,2018-11-28,2018-12-04,Standard Class,LS-16975,FUR-FU-10004270,20.9
CA-2018-102519,2018-11-27,2018-11-29,First Class,BM-11650,FUR-FU-10004091,46.94
CA-2018-102519,2018-11-27,2018-11-29,First Class,BM-11650,TEC-AC-10001772,143.73
CA-2018-101245,2018-11-27,2018-12-03,Standard Class,LW-16990,OFF-PA-10003129,244.55
CA-2018-101245,2018-11-27,2018-12-03,Standard Class,LW-16990,TEC-AC-10001284,166.16
CA-2018-159506,2018-11-27,2018-12-02,Standard Class,JR-16210,OFF-PA-10003641,158.28
CA-2018-159506,2018-11-27,2018-12-02,Standard Class,JR-16210,OFF-BI-10004519,497.94
CA-2018-165029,2018-11-26,2018-11-30,Standard Class,AH-10075,OFF-AR-10003504,12.84
CA-2018-155957,2018-11-26,2018-11-30,Standard Class,CC-12610,OFF-AP-10002082,52272
CA-2018-155957,2018-11-26,2018-11-30,Standard Class,CC-12610,OFF-AP-10004708,213136
CA-2018-155607,2018-11-26,2018-11-30,Standard Class,FG-14260,OFF-AP-10001962,58.73
CA-2018-155607,2018-11-26,2018-11-30,Standard Class,FG-14260,OFF-BI-10003364,93344
CA-2018-141439,2018-11-26,2018-12-01,Standard Class,TT-21460,FUR-TA-10001039,257.94
CA-2018-141439,2018-11-26,2018-12-01,Standard Class,TT-21460,TEC-PH-10002624,1879.96
CA-2018-141439,2018-11-26,2018-12-01,Standard Class,TT-21460,FUR-FU-10001473,27.46
CA-2018-141439,2018-11-26,2018-12-01,Standard Class,TT-21460,TEC-PH-10001819,89.98
CA-2018-141439,2018-11-26,2018-12-01,Standard Class,TT-21460,FUR-CH-10004287,828.6
CA-2018-161459,2018-11-25,2018-11-29,Second Class,EB-13750,TEC-PH-10004071,39.96
CA-2018-161459,2018-11-25,2018-11-29,Second Class,EB-13750,OFF-PA-10002377,34.08
US-2018-109610,2018-11-25,2018-11-30,Second Class,BS-11590,FUR-CH-10001854,701.96
CA-2018-129000,2018-11-25,2018-11-27,Second Class,SZ-20035,OFF-ST-10001097,501.81
CA-2018-166436,2018-11-24,2018-11-28,Standard Class,TS-21370,OFF-PA-10001838,5.88
CA-2018-166436,2018-11-24,2018-11-28,Standard Class,TS-21370,FUR-CH-10000785,977292
CA-2018-128300,2018-11-24,2018-11-26,Second Class,RS-19765,TEC-PH-10002807,79.1
CA-2018-128300,2018-11-24,2018-11-26,Second Class,RS-19765,OFF-BI-10001597,327.84
CA-2018-153654,2018-11-24,2018-11-26,Second Class,MD-17860,OFF-BI-10004465,19008
CA-2018-131366,2018-11-24,2018-11-29,Standard Class,SC-20440,TEC-PH-10003437,89988
CA-2018-131366,2018-11-24,2018-11-29,Standard Class,SC-20440,OFF-PA-10000675,229544
CA-2018-105543,2018-11-24,2018-11-24,Same Day,BG-11695,OFF-ST-10003123,33.29
CA-2018-103765,2018-11-24,2018-11-30,Standard Class,JG-15310,OFF-AP-10002311,13762
US-2018-128118,2018-11-24,2018-12-01,Standard Class,MY-17380,OFF-BI-10000216,11673
US-2018-128118,2018-11-24,2018-12-01,Standard Class,MY-17380,OFF-EN-10003448,64848
CA-2018-146535,2018-11-24,2018-11-30,Standard Class,FM-14290,OFF-BI-10000546,2.88
CA-2018-146535,2018-11-24,2018-11-30,Standard Class,FM-14290,OFF-ST-10001526,1443.96
CA-2018-149160,2018-11-23,2018-11-26,Second Class,JM-15265,FUR-FU-10003347,28.4
CA-2018-149160,2018-11-23,2018-11-26,Second Class,JM-15265,OFF-BI-10001543,287.92
CA-2018-107832,2018-11-23,2018-11-26,Second Class,FH-14275,OFF-BI-10001658,7476
CA-2018-148992,2018-11-23,2018-11-27,Standard Class,CS-12250,OFF-PA-10004285,10688
CA-2018-156622,2018-11-23,2018-11-26,First Class,JP-15460,OFF-PA-10000477,36288
CA-2018-156622,2018-11-23,2018-11-26,First Class,JP-15460,OFF-PA-10002923,78304
CA-2018-156622,2018-11-23,2018-11-26,First Class,JP-15460,FUR-TA-10003008,127785
CA-2018-156622,2018-11-23,2018-11-26,First Class,JP-15460,OFF-BI-10003707,6104
CA-2018-105130,2018-11-21,2018-11-25,Standard Class,PJ-18835,OFF-AR-10003394,11.76
CA-2018-105130,2018-11-21,2018-11-25,Standard Class,PJ-18835,OFF-BI-10001191,40736
CA-2018-103380,2018-11-21,2018-11-25,Standard Class,BF-11005,OFF-ST-10003442,56.56
CA-2018-103380,2018-11-21,2018-11-25,Standard Class,BF-11005,OFF-AR-10003856,5.56
CA-2018-103380,2018-11-21,2018-11-25,Standard Class,BF-11005,OFF-FA-10004248,9.02
CA-2018-103380,2018-11-21,2018-11-25,Standard Class,BF-11005,OFF-AP-10001492,8.62
CA-2018-103380,2018-11-21,2018-11-25,Standard Class,BF-11005,TEC-PH-10004165,659976
CA-2018-120404,2018-11-20,2018-11-24,Second Class,KH-16330,TEC-AC-10003433,2.97
CA-2018-120404,2018-11-20,2018-11-24,Second Class,KH-16330,TEC-PH-10001363,569.99
CA-2018-120404,2018-11-20,2018-11-24,Second Class,KH-16330,FUR-FU-10000820,50.97
CA-2018-154123,2018-11-20,2018-11-25,Standard Class,SC-20050,FUR-FU-10000629,27.58
US-2018-137491,2018-11-19,2018-11-25,Standard Class,LC-16930,FUR-CH-10004675,305312
CA-2018-168858,2018-11-19,2018-11-23,Standard Class,JD-16150,OFF-EN-10001415,16.74
CA-2018-168858,2018-11-19,2018-11-23,Standard Class,JD-16150,OFF-AP-10003849,2504.74
CA-2018-112529,2018-11-19,2018-11-21,First Class,SC-20770,FUR-TA-10002622,718116
CA-2018-112529,2018-11-19,2018-11-21,First Class,SC-20770,OFF-AR-10001915,31776
CA-2018-162929,2018-11-19,2018-11-22,First Class,AS-10135,OFF-BI-10000404,41.28
CA-2018-162929,2018-11-19,2018-11-22,First Class,AS-10135,OFF-PA-10002986,13.36
CA-2018-143021,2018-11-19,2018-11-19,Same Day,AP-10720,OFF-BI-10001628,58408
CA-2018-143021,2018-11-19,2018-11-19,Same Day,AP-10720,FUR-TA-10001676,79974
US-2018-158946,2018-11-18,2018-11-23,Standard Class,JW-15220,OFF-AR-10001860,38864
CA-2018-104864,2018-11-18,2018-11-23,Second Class,JS-15685,OFF-ST-10002301,81.36
CA-2018-104864,2018-11-18,2018-11-23,Second Class,JS-15685,OFF-BI-10001636,20232
CA-2018-104864,2018-11-18,2018-11-23,Second Class,JS-15685,OFF-AP-10002684,389056
CA-2018-104864,2018-11-18,2018-11-23,Second Class,JS-15685,OFF-PA-10004609,20736
CA-2018-104864,2018-11-18,2018-11-23,Second Class,JS-15685,OFF-PA-10003309,41472
CA-2018-107825,2018-11-18,2018-11-18,Same Day,NB-18655,OFF-ST-10001321,92.52
CA-2018-107825,2018-11-18,2018-11-18,Same Day,NB-18655,OFF-ST-10000777,37.76
CA-2018-107825,2018-11-18,2018-11-18,Same Day,NB-18655,OFF-LA-10003720,7.38
CA-2018-107825,2018-11-18,2018-11-18,Same Day,NB-18655,FUR-FU-10000206,5.82
CA-2018-143434,2018-11-18,2018-11-24,Standard Class,ME-17320,FUR-FU-10002597,19.76
